gate,logic,A,B,k,tumour_coverage,worst_normal_leak,worst_group,vital_leak,vital_group,strict_leak,strict_group,regen_leak,pseudobulk_leak,bulk_trap_gap,not_arm_falsifiable,not_arm_detect,audited_vital,unaudited_vital,leak_is_upper_bound,verdict,selective,protein_copositivity_status,transcript_only,multiple_testing_control
ERBB3 AND CEACAM5,AND,ERBB3,CEACAM5,2,0.012,0.295,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.295,tracheobronchial goblet cell@lung,0.001,0.012,-0.283,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND MUC16,AND,ERBB2,MUC16,2,0.004,0.295,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.295,tracheobronchial goblet cell@lung,0.001,0.029,-0.266,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND CLDN6,AND,ERBB3,CLDN6,2,0.001,0.301,respiratory epithelial cell@lung,0.015,skeletal_myocyte@bone marrow,0.301,respiratory epithelial cell@lung,0.008,0.013,-0.288,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CLDN6,AND,MUC1,CLDN6,2,0.001,0.304,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.304,epithelial cell of lung@lung,0.001,0.013,-0.291,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND FOLR1,AND,ERBB3,FOLR1,2,0.014,0.306,respiratory goblet cell@lung,0.042,skeletal_myocyte@bone marrow,0.306,respiratory goblet cell@lung,0.004,0.03,-0.275,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND CDH1,AND,ERBB3,CDH1,2,0.03,0.308,brush cell of trachebronchial tree@lung,0.047,pancreatic_islet@pancreas,0.308,brush cell of trachebronchial tree@lung,0.053,0.047,-0.261,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND PROM1,AND,TACSTD2,PROM1,2,0.012,0.309,progenitor cell@kidney,0.025,pancreatic_islet@pancreas,0.309,progenitor cell@kidney,0.001,0.028,-0.282,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND CEACAM5,AND,SDC1,CEACAM5,2,0.009,0.322,nasal mucosa goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.322,nasal mucosa goblet cell@lung,0.001,0.012,-0.311,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND CLDN6,AND,SDC1,CLDN6,2,0.001,0.322,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.322,epithelial cell of lung@lung,0.001,0.013,-0.309,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND PROM1,AND,MUC1,PROM1,2,0.009,0.325,tracheobronchial goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.325,tracheobronchial goblet cell@lung,0.001,0.028,-0.298,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND CDH1,AND,SDC1,CDH1,2,0.023,0.343,papillary tips cell@kidney,0.015,skeletal_myocyte@bone marrow,0.343,papillary tips cell@kidney,0.049,0.034,-0.309,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND EPCAM,AND,ERBB3,EPCAM,2,0.045,0.355,tracheobronchial goblet cell@lung,0.057,pancreatic_islet@pancreas,0.355,tracheobronchial goblet cell@lung,0.025,0.047,-0.308,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND ERBB3,AND,MUC1,ERBB3,2,0.027,0.374,respiratory goblet cell@lung,0.032,pancreatic_islet@pancreas,0.374,respiratory goblet cell@lung,0.004,0.047,-0.327,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND ERBB3,AND,TACSTD2,ERBB3,2,0.026,0.374,respiratory goblet cell@lung,0.05,pancreatic_islet@pancreas,0.374,respiratory goblet cell@lung,0.001,0.047,-0.327,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND FOLR1,AND,SDC1,FOLR1,2,0.019,0.384,urothelial cell@kidney,0.015,skeletal_myocyte@bone marrow,0.384,urothelial cell@kidney,0.007,0.034,-0.35,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND EPCAM,AND,SDC1,EPCAM,2,0.038,0.386,epithelial cell of lung@lung,0.034,kidney_tubule@kidney,0.386,epithelial cell of lung@lung,0.03,0.034,-0.352,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND CLDN18,AND,MUC1,CLDN18,2,0.014,0.395,pneumocyte@lung,0.015,skeletal_myocyte@bone marrow,0.395,pneumocyte@lung,0.004,0.02,-0.374,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
