gate,logic,A,B,k,tumour_coverage,worst_normal_leak,worst_group,vital_leak,vital_group,strict_leak,strict_group,regen_leak,pseudobulk_leak,bulk_trap_gap,not_arm_falsifiable,not_arm_detect,audited_vital,unaudited_vital,leak_is_upper_bound,verdict,selective,protein_copositivity_status,transcript_only,multiple_testing_control
SDC1 AND EPHB4,AND,SDC1,EPHB4,2,0.004,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.013,0.012,-0.079,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND MET,AND,EPHB4,MET,2,0.003,0.09,IgA plasma cell@kidney,0.029,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.007,0.011,-0.079,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND FOLR1,AND,EPHB4,FOLR1,2,0.002,0.09,IgA plasma cell@kidney,0.029,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.003,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND NECTIN4,AND,EPHB4,NECTIN4,2,0.002,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND PROM1,AND,EPHB4,PROM1,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND MSLN,AND,EPHB4,MSLN,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND CLDN6,AND,ITGB4,CLDN6,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.013,-0.077,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CLDN18,AND,EPHB4,CLDN18,2,0.0,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND ROR1,AND,EPHB4,ROR1,2,0.0,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND NECTIN4,AND,ITGB4,NECTIN4,2,0.004,0.1,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.1,respiratory goblet cell@lung,0.001,0.01,-0.09,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CLDN6,AND,EPHB4,CLDN6,2,0.0,0.104,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.104,epithelial cell of lung@lung,0.003,0.01,-0.094,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND EPHB4,AND,ITGB4,EPHB4,2,0.004,0.105,lung microvascular endothelial cell@lung,0.015,skeletal_myocyte@bone marrow,0.105,lung microvascular endothelial cell@lung,0.001,0.01,-0.095,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND EPHB4,AND,TACSTD2,EPHB4,2,0.005,0.111,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.111,brush cell of trachebronchial tree@lung,0.001,0.01,-0.101,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND EPHB4,AND,ERBB3,EPHB4,2,0.004,0.111,brush cell of trachebronchial tree@lung,0.029,skeletal_myocyte@bone marrow,0.111,brush cell of trachebronchial tree@lung,0.009,0.011,-0.1,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND ERBB3,AND,EPHB4,ERBB3,2,0.004,0.111,brush cell of trachebronchial tree@lung,0.029,skeletal_myocyte@bone marrow,0.111,brush cell of trachebronchial tree@lung,0.009,0.011,-0.1,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CDH1,AND,EPHB4,CDH1,2,0.004,0.111,brush cell of trachebronchial tree@lung,0.029,skeletal_myocyte@bone marrow,0.111,brush cell of trachebronchial tree@lung,0.009,0.012,-0.099,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CEACAM5,AND,EPHB4,CEACAM5,2,0.002,0.111,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.111,brush cell of trachebronchial tree@lung,0.001,0.01,-0.101,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND PROM1,AND,ITGB4,PROM1,2,0.006,0.127,acinar cell@lung,0.015,skeletal_myocyte@bone marrow,0.127,acinar cell@lung,0.001,0.017,-0.109,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND ROR1,AND,ERBB2,ROR1,2,0.001,0.127,epithelial cell of lung@lung,0.029,cardiomyocyte@heart,0.127,epithelial cell of lung@lung,0.001,0.035,-0.092,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND EPHB4,AND,MUC1,EPHB4,2,0.004,0.133,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.133,brush cell of trachebronchial tree@lung,0.001,0.01,-0.123,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND EPHB4,AND,ERBB2,EPHB4,2,0.003,0.133,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.133,brush cell of trachebronchial tree@lung,0.004,0.01,-0.123,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND MUC16,AND,EPHB4,MUC16,2,0.001,0.133,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.133,brush cell of trachebronchial tree@lung,0.001,0.01,-0.123,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND CLDN18,AND,ITGB4,CLDN18,2,0.001,0.133,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.133,brush cell of trachebronchial tree@lung,0.001,0.017,-0.116,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
MUC1 AND ROR1,AND,MUC1,ROR1,2,0.001,0.134,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.134,epithelial cell of lung@lung,0.001,0.045,-0.088,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND MSLN,AND,ITGB4,MSLN,2,0.004,0.14,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.14,respiratory goblet cell@lung,0.001,0.017,-0.123,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
TACSTD2 AND ROR1,AND,TACSTD2,ROR1,2,0.002,0.14,type I pneumocyte@lung,0.015,skeletal_myocyte@bone marrow,0.14,type I pneumocyte@lung,0.001,0.045,-0.094,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND PROM1,AND,SDC1,PROM1,2,0.006,0.141,progenitor cell@kidney,0.015,skeletal_myocyte@bone marrow,0.141,progenitor cell@kidney,0.001,0.028,-0.114,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB2 AND NECTIN4,AND,ERBB2,NECTIN4,2,0.006,0.144,papillary tips cell@kidney,0.015,skeletal_myocyte@bone marrow,0.144,papillary tips cell@kidney,0.001,0.02,-0.124,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND CLDN18,AND,SDC1,CLDN18,2,0.008,0.145,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.145,epithelial cell of lung@lung,0.001,0.02,-0.124,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
SDC1 AND ROR1,AND,SDC1,ROR1,2,0.002,0.147,epithelial cell of lung@lung,0.015,skeletal_myocyte@bone marrow,0.147,epithelial cell of lung@lung,0.003,0.034,-0.113,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND EPCAM,AND,EPHB4,EPCAM,2,0.005,0.154,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.154,brush cell of trachebronchial tree@lung,0.013,0.012,-0.143,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CD24,AND,EPHB4,CD24,2,0.005,0.154,brush cell of trachebronchial tree@lung,0.015,skeletal_myocyte@bone marrow,0.154,brush cell of trachebronchial tree@lung,0.007,0.012,-0.143,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND ROR1,AND,ITGB4,ROR1,2,0.001,0.157,non-myelinating Schwann cell@lung,0.018,skeletal_myocyte@brain,0.157,non-myelinating Schwann cell@lung,0.001,0.017,-0.139,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND FOLR1,AND,ITGB4,FOLR1,2,0.005,0.173,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.173,respiratory goblet cell@lung,0.001,0.017,-0.156,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ERBB3 AND NECTIN4,AND,ERBB3,NECTIN4,2,0.009,0.178,urothelial cell@kidney,0.015,skeletal_myocyte@bone marrow,0.178,urothelial cell@kidney,0.001,0.028,-0.15,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
